slug,state,region,statsSource,medianHousePrice,statsUpdatedAt
springdale-heights-nsw-2641,NSW,Albury,rental-nsw,600750,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
bream-beach-nsw-2540,NSW,Unincorp. Other Territories,rental-nsw,381000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
pimlico-qld-4812,QLD,Townsville,rental-qld,308000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
mount-thompson-qld-4121,QLD,Brisbane,abs-census-2021,517000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
buranda-qld-4102,QLD,Brisbane,abs-census-2021,440000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
blaxland-qld-4405,QLD,Western Downs,abs-census-2021,286000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
leonards-hill-vic-3461,VIC,Macedon Ranges,rental-vic,334000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
eganstown-vic-3461,VIC,Macedon Ranges,rental-vic,334000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
lower-acacia-creek-nsw-2476,NSW,Tenterfield,rental-nsw,140000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
tianjara-nsw-2622,NSW,Eurobodalla,rental-nsw,381000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
snowball-nsw-2622,NSW,Eurobodalla,rental-nsw,381000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
waua-islet-qld-4875,QLD,Far North,abs-census-2021,394000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
nambour-dc-qld-4560,QLD,Sunshine Coast,abs-census-2021,381000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
braemar-forest-qld-4405,QLD,Western Downs,abs-census-2021,286000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
miniyerri-nt-0852,NT,Katherine,abs-census-2021,334000,Wed May 06 2026 23:58:37 GMT+1000 (Australian Eastern Standard Time)
nitmiluk-nt-0852,NT,Katherine,abs-census-2021,334000,Wed May 06 2026 23:58:37 GMT+1000 (Australian Eastern Standard Time)
dry-diggings-vic-3461,VIC,Macedon Ranges,rental-vic,334000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
wheatsheaf-vic-3461,VIC,Macedon Ranges,rental-vic,334000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
beelbi-creek-qld-4659,QLD,Fraser Coast,sales-qld,310000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
barramornie-qld-4416,QLD,Western Downs,abs-census-2021,286000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
carole-park-qld-4300,QLD,Ipswich,abs-census-2021,388000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
clontarf-qld-4357,QLD,Goondiwindi,abs-census-2021,238000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
brookfield-qld-4069,QLD,Brisbane,abs-census-2021,550000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
caboolture-bc-qld-4510,QLD,Moreton Bay,abs-census-2021,349000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
hirstglen-qld-4359,QLD,Lockyer Valley,sales-qld,485000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
franklinford-vic-3461,VIC,Macedon Ranges,rental-vic,334000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
sulky-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
wallanthery-nsw-2675,NSW,Carrathool,rental-nsw,194000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
ando-nsw-2631,NSW,Bega Valley,rental-nsw,1240000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
flynn-wa-6302,WA,Beverley,abs-census-2021,308000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
mutdapilly-qld-4307,QLD,Ipswich,sales-qld,444000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
macgregor-qld-4109,QLD,Brisbane,rental-qld,420000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
wanora-qld-4306,QLD,Scenic Rim,sales-qld,384000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
magpie-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
mount-cole-creek-vic-3377,VIC,Northern Grampians,rental-vic,238000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
canowindra-nsw-2804,NSW,Cowra,rental-nsw,431000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
lake-manchester-qld-4306,QLD,Scenic Rim,sales-qld,231000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
rockside-qld-4343,QLD,Lockyer Valley,sales-qld,157000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
braeside-vic-3195,VIC,Kingston,rental-vic,484000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
england-creek-qld-4306,QLD,Scenic Rim,sales-qld,281000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
ararat-east-vic-3377,VIC,Northern Grampians,rental-vic,238000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
bullarook-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
wavell-heights-north-qld-4012,QLD,Brisbane,abs-census-2021,449000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
yarraden-qld-4892,QLD,Napranum,sales-qld,262000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
abingdon-downs-qld-4871,QLD,Carpentaria,abs-census-2021,286000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
mount-bolton-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
loira-tas-7275,TAS,Meander Valley,abs-census-2021,286000,Wed Apr 15 2026 17:19:49 GMT+1000 (Australian Eastern Standard Time)
calvert-qld-4340,QLD,Scenic Rim,abs-census-2021,334000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
opossum-creek-qld-4300,QLD,Ipswich,abs-census-2021,388000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
cardigan-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
roundstone-qld-4718,QLD,Woorabinda,abs-census-2021,238000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
alstonville-nsw-2477,NSW,Lismore,rental-nsw,900000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
coongbar-nsw-2469,NSW,Richmond Valley,rental-nsw,234000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
tunbridge-tas-7120,TAS,Northern Midlands,abs-census-2021,197000,Wed Apr 15 2026 17:39:19 GMT+1000 (Australian Eastern Standard Time)
wairuna-qld-4872,QLD,Mareeba,abs-census-2021,302000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
vernor-qld-4306,QLD,Scenic Rim,sales-qld,370000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
murrumba-qld-4312,QLD,Somerset,abs-census-2021,286000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
ercildoune-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
carrington-qld-4350,QLD,Toowoomba,abs-census-2021,330000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
st-huberts-island-nsw-2257,NSW,Central Coast,rental-nsw,1950000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
wallingat-nsw-2423,NSW,Mid-Coast,rental-nsw,286000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
morbinning-wa-6304,WA,Beverley,sales-wa,239000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
norwin-qld-4356,QLD,Toowoomba,abs-census-2021,314000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
regents-park-qld-4118,QLD,Logan,rental-qld,358000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
burrumbeet-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
sandigo-nsw-2700,NSW,Leeton,rental-nsw,238000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
robigana-tas-7275,TAS,Meander Valley,abs-census-2021,286000,Wed Apr 15 2026 17:33:43 GMT+1000 (Australian Eastern Standard Time)
pullenvale-qld-4069,QLD,Brisbane,sales-qld,668000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
jimboomba-qld-4280,QLD,Logan,rental-qld,440000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
arcadia-valley-qld-4454,QLD,Banana,abs-census-2021,96000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
augustine-heights-qld-4300,QLD,Ipswich,rental-qld,475000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
weatherboard-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
lexton-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
langlands-qld-4410,QLD,Western Downs,abs-census-2021,214000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
chapel-flat-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
dean-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
richmond-hill-nsw-2480,NSW,Ballina,rental-nsw,1200000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
narembeen-wa-6369,WA,Narembeen,sales-wa,191000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
flaxton-qld-4560,QLD,Sunshine Coast,sales-qld,398000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
wulkuraka-qld-4305,QLD,Scenic Rim,sales-qld,286000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
innes-qld-4818,QLD,Townsville,abs-census-2021,374000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
rockmount-qld-4344,QLD,Lockyer Valley,sales-qld,238000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
kembla-heights-nsw-2526,NSW,Wollongong,rental-nsw,477000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
lake-buloke-vic-3480,VIC,Yarriambiack,rental-vic,191000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
gong-gong-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
scotsburn-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
wadderin-wa-6369,WA,Narembeen,abs-census-2021,174000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
aitkenvale-bc-qld-4814,QLD,Townsville,abs-census-2021,333000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
shirbourne-qld-4809,QLD,Townsville,sales-qld,477000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
clemant-qld-4816,QLD,Croydon,sales-qld,2091000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
kubin-qld-4875,QLD,Far North,abs-census-2021,394000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
rosehill-qld-4370,QLD,Southern Downs,abs-census-2021,286000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
durham-lead-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
tarcombe-vic-3666,VIC,Murrindindi,rental-vic,264000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
pitnacree-nsw-2323,NSW,Lake Macquarie,rental-nsw,381000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
crediton-qld-4757,QLD,Mackay,sales-qld,220000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
winkleigh-tas-7275,TAS,Meander Valley,abs-census-2021,286000,Wed Apr 15 2026 17:42:34 GMT+1000 (Australian Eastern Standard Time)
guluguba-qld-4418,QLD,Western Downs,sales-qld,121000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
helidon-spa-qld-4344,QLD,Lockyer Valley,sales-qld,396000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
torwood-qld-4066,QLD,Brisbane,abs-census-2021,469000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
ironbark-qld-4306,QLD,Scenic Rim,abs-census-2021,397000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
middleton-qld-4735,QLD,Diamantina,abs-census-2021,191000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
dromedary-qld-4718,QLD,Woorabinda,abs-census-2021,238000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
lal-lal-vic-3352,VIC,Corangamite,rental-vic,352000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
timmering-vic-3561,VIC,Campaspe,rental-vic,253000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
