slug,state,region,statsSource,medianHousePrice,regionMedian,regionN,deviationPct,population
unley-park-sa-5061,SA,Unley,sales-sa,3037500,1940000,9,57,1383
travancore-vic-3032,VIC,Maribyrnong,sales-vic,477000,1100000,7,-57,2116
henley-beach-sa-5022,SA,Charles Sturt,sales-sa,1790000,1140000,25,57,6259
st-lucia-qld-4067,QLD,Brisbane,sales-abs,1970000,1262500,86,56,12220
trentham-vic-3458,VIC,Macedon Ranges,sales-vic,970000,620000,14,56,1382
glenunga-sa-5064,SA,Mitcham,sales-sa,2447500,1581250,26,55,2184
avenel-vic-3664,VIC,Mitchell,sales-vic,1150000,740000,5,55,1112
frankston-south-vic-3199,VIC,Frankston,sales-vic,1190000,772750,16,54,18801
kingsville-vic-3012,VIC,Brimbank,sales-vic,1200000,780000,33,54,3920
underbool-vic-3509,VIC,Mildura,sales-vic,200000,425000,6,-53,215
bulimba-qld-4171,QLD,Brisbane,sales-abs,1937500,1262500,86,53,7623
jacka-act-2914,ACT,Gungahlin,sales-abs,477000,1020000,14,-53,712
alberton-sa-5014,SA,Port Adelaide Enfield,sales-sa,1615000,1055500,40,53,1860
earlwood-nsw-2206,NSW,Canterbury-Bankstown,sales-abs,2080000,1369000,8,52,18053
kensington-park-sa-5068,SA,Norwood Payneham and St Peters,sales-sa,2518000,1660500,19,52,2627
parkville-vic-3052,VIC,Moreland,sales-vic,2025000,1335000,15,52,7297
braddon-act-2612,ACT,North Canberra,sales-abs,1720000,1130675,18,52,6383
prospect-sa-5082,SA,Port Adelaide Enfield,sales-sa,1600000,1055500,40,52,14584
grange-sa-5022,SA,Charles Sturt,sales-sa,1737500,1140000,25,52,6143
auldana-sa-5072,SA,Adelaide Hills,sales-sa,2025000,1335000,27,52,629
campbell-act-2612,ACT,North Canberra,sales-abs,1715000,1130675,18,52,6564
wacol-qld-4076,QLD,Brisbane,sales-abs,600000,1262500,86,-52,4253
rupanyup-vic-3388,VIC,Northern Grampians,sales-vic,185000,379500,5,-51,545
heathpool-sa-5068,SA,Norwood Payneham and St Peters,sales-sa,2514000,1660500,19,51,596
charlton-vic-3525,VIC,Loddon,sales-vic,250000,515000,7,-51,1369
cheltenham-north-vic-3192,VIC,Bayside,sales-vic,1042500,2118750,10,-51,24129
kyogle-nsw-2474,NSW,Tweed,sales-abs,517000,1050000,5,-51,2248
barton-act-2600,ACT,Woden,sales-abs,620000,1276000,13,-51,1946
south-brisbane-qld-4101,QLD,Brisbane,sales-abs,1910000,1262500,86,51,14292
yarrawonga-vic-3730,VIC,Moira,sales-vic,615000,410000,6,50,9719
palm-beach-qld-4221,QLD,Gold Coast,sales-abs,1707500,1136250,32,50,28889
shailer-park-qld-4128,QLD,Logan,sales-abs,990000,660000,11,50,12182
nailsworth-sa-5083,SA,Port Adelaide Enfield,sales-sa,1575000,1055500,40,49,2235
wilston-qld-4051,QLD,Brisbane,sales-abs,1875000,1262500,86,49,4110
eagleby-qld-4207,QLD,Gold Coast,sales-abs,580000,1136250,32,-49,13594
charlemont-vic-3217,VIC,Surf Coast,sales-vic,651000,1271250,12,-49,2612
balmoral-qld-4171,QLD,Brisbane,sales-abs,1880000,1262500,86,49,16886
emu-park-qld-4710,QLD,Livingstone,sales-abs,568000,380000,7,49,2281
caulfield-vic-3162,VIC,Glen Eira,sales-vic,2685000,1819000,15,48,5748
torrens-park-sa-5062,SA,Mitcham,sales-sa,2340000,1581250,26,48,2687
toorak-gardens-sa-5065,SA,Burnside,sales-sa,2910000,1963250,14,48,2604
croydon-sa-5008,SA,Port Adelaide Enfield,sales-sa,1560000,1055500,40,48,1220
slacks-creek-qld-4127,QLD,Brisbane,sales-abs,660000,1262500,86,-48,10408
balwyn-north-vic-3104,VIC,Whitehorse,sales-vic,2100000,1417000,10,48,21302
new-gisborne-vic-3438,VIC,Macedon Ranges,sales-vic,915000,620000,14,48,2509
armstrong-creek-vic-3217,VIC,Surf Coast,sales-vic,670000,1271250,12,-47,20499
cheltenham-east-vic-3192,VIC,Bayside,sales-vic,1130000,2118750,10,-47,24129
hastings-vic-3915,VIC,Mornington Peninsula,sales-vic,725000,1362500,26,-47,10723
irymple-vic-3498,VIC,Mildura,sales-vic,625000,425000,6,47,5977
denistone-nsw-2114,NSW,Parramatta,sales-abs,2330000,1600000,7,46,3726
west-lakes-sa-5021,SA,Charles Sturt,sales-sa,1667500,1140000,25,46,6768
runaway-bay-qld-4216,QLD,Gold Coast,sales-abs,1655000,1136250,32,46,9308
beenleigh-qld-4207,QLD,Gold Coast,sales-abs,618500,1136250,32,-46,8425
ravenswood-tas-7250,TAS,Meander Valley,sales-abs,350000,642500,10,-46,51133
yarrabilba-qld-4207,QLD,Gold Coast,sales-abs,610000,1136250,32,-46,10240
