population,sharedBy,slug
20015,12,tabberabbera-vic-3875
20015,12,fairy-dell-vic-3875
35304,11,bonnie-vale-nsw-2232
35304,11,goarra-nsw-2232
35304,11,audley-nsw-2232
35304,11,jibbon-nsw-2232
35304,11,kirrawee-dc-nsw-2232
35304,11,marley-nsw-2232
35304,11,palona-nsw-2232
35304,11,yenabilli-nsw-2232
35304,11,uloola-nsw-2232
35304,11,warumbul-nsw-2232
35304,11,garie-nsw-2232
12036,11,beargamil-nsw-2870
12036,11,mickibri-nsw-2870
12036,11,shallow-rush-nsw-2870
12036,11,nanardine-nsw-2870
12036,11,parkesborough-nsw-2870
12036,11,brolgan-nsw-2870
12036,11,bumberry-nsw-2870
12036,11,bindogundra-nsw-2870
12036,11,goobang-nsw-2870
12036,11,mugincoble-nsw-2870
12036,11,kadina-nsw-2870
5329,11,gununa-qld-4892
5329,11,bellevue-qld-4892
5329,11,highbury-qld-4892
5329,11,laura-qld-4892
5329,11,west-wellesley-islands-qld-4892
5329,11,red-river-qld-4892
5329,11,palmer-qld-4892
5329,11,ravensworth-qld-4892
5329,11,dixie-qld-4892
5329,11,south-wellesley-islands-qld-4892
5329,11,staaten-qld-4892
10111,11,moonlight-flat-vic-3465
10111,11,maryborough-vic-3465
10111,11,craigie-vic-3465
10111,11,golden-point-vic-3465
10111,11,alma-vic-3465
10111,11,timor-vic-3465
10111,11,homebush-vic-3465
10111,11,daisy-hill-vic-3465
10111,11,rodborough-vic-3465
10111,11,wyoming-nsw-2250
10111,11,everton-park-qld-4053
43828,11,north-rockhampton-qld-4701
43828,11,central-queensland-university-qld-4701
43828,11,mount-archer-qld-4701
43828,11,ironpot-qld-4701
43828,11,rockhampton-shopping-fair-qld-4701
43828,11,kalka-qld-4701
43828,11,red-hill-rockhampton-qld-4701
43828,11,oasis-gardens-qld-4701
43828,11,rockhampton-dc-qld-4701
43828,11,sandringham-qld-4701
43828,11,rockhampton-north-qld-4701
6771,11,spurgeon-qld-4873
6771,11,syndicate-qld-4873
6771,11,finlay-vale-qld-4873
6771,11,wonga-qld-4873
6771,11,bailey-creek-qld-4873
6771,11,rocky-point-qld-4873
6771,11,dedin-qld-4873
6771,11,dagmar-qld-4873
6771,11,noah-qld-4873
6771,11,kimberley-qld-4873
6771,11,bonnie-doon-qld-4873
7455,11,moroka-vic-3860
7455,11,koorool-vic-3860
7455,11,toolome-vic-3860
7455,11,nap-nap-marra-vic-3860
7455,11,monomak-vic-3860
7455,11,wrathung-vic-3860
7455,11,wrixon-vic-3860
7455,11,woolenook-vic-3860
7455,11,maffra-vic-3860
7455,11,bushy-park-vic-3860
7455,11,nuntin-vic-3860
8255,11,fairbairn-raaf-act-2600
8255,11,canberra-act-2600
8255,11,hmas-harman-act-2600
8255,11,deakin-west-act-2600
8255,11,duntroon-act-2600
8255,11,harman-act-2600
8255,11,narrabeen-nsw-2101
8255,11,russell-act-2600
8255,11,parkes-act-2600
8255,11,parliament-house-act-2600
8255,11,russell-hill-act-2600
31073,10,mootai-nsw-2325
31073,10,narone-creek-nsw-2325
31073,10,yallambie-nsw-2325
31073,10,milsons-arm-nsw-2325
31073,10,moruben-nsw-2325
31073,10,cessnock-west-nsw-2325
31073,10,corrabare-nsw-2325
