slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
baldry-nsw-2867,"Baldry",2867,210,171,2026-07-01T02:02:09.916Z,sales-nsw
balfours-peak-nsw-2403,"Balfours Peak",2403,200,225,2026-07-01T02:02:09.916Z,rental-nsw
balladoran-nsw-2831,"Balladoran",2831,250,150,2026-07-01T02:02:09.916Z,rental-nsw
ballalaba-nsw-2622,"Ballalaba",2622,350,255,2026-07-01T02:02:09.916Z,rental-nsw
ballengarra-nsw-2441,"Ballengarra",2441,290,400,2026-07-01T02:02:09.916Z,sales-nsw
balranald-nsw-2715,"Balranald",2715,200,200,2026-07-01T02:02:09.916Z,sales-nsw
bangadang-nsw-2729,"Bangadang",2729,200,170,2026-07-01T02:02:09.916Z,rental-nsw
bangheet-nsw-2404,"Bangheet",2404,200,170,2026-07-01T02:02:09.916Z,rental-nsw
banyabba-nsw-2469,"Banyabba",2469,240,450,2026-07-01T02:02:09.916Z,rental-nsw
baradine-nsw-2396,"Baradine",2396,157,157,2026-07-01T02:02:09.916Z,sales-nsw
barellan-nsw-2665,"Barellan",2665,150,200,2026-07-01T02:02:09.916Z,sales-nsw
barham-nsw-2732,"Barham",2732,180,185,2026-07-01T02:02:09.916Z,sales-nsw
barmedman-nsw-2668,"Barmedman",2668,190,190,2026-07-01T02:02:09.916Z,sales-nsw
barnsley-nsw-2278,"Barnsley",2278,360,360,2026-07-01T02:02:09.916Z,sales-nsw
barooga-nsw-3644,"Barooga",3644,260,260,2026-07-01T02:02:09.916Z,sales-nsw
bar-point-nsw-2083,"Bar Point",2083,429,300,2026-07-01T02:02:09.916Z,sales-nsw
barraganyatti-nsw-2441,"Barraganyatti",2441,290,310,2026-07-01T02:02:09.916Z,sales-nsw
barringun-nsw-2840,"Barringun",2840,180,153,2026-07-01T02:02:09.916Z,rental-nsw
barwon-nsw-2396,"Barwon",2396,157,133,2026-07-01T02:02:09.916Z,rental-nsw
batar-creek-nsw-2439,"Batar Creek",2439,350,298,2026-07-01T02:02:09.916Z,rental-nsw
batlow-nsw-2730,"Batlow",2730,180,180,2026-07-01T02:02:09.916Z,sales-nsw
bayview-nsw-2104,"Bayview",2104,850,850,2026-07-01T02:02:09.916Z,sales-nsw
bean-creek-nsw-2469,"Bean Creek",2469,240,150,2026-07-01T02:02:09.916Z,rental-nsw
bearbong-nsw-2827,"Bearbong",2827,200,700,2026-07-01T02:02:09.916Z,rental-nsw
beaury-creek-nsw-2475,"Beaury Creek",2475,210,179,2026-07-01T02:02:09.916Z,rental-nsw
beckom-nsw-2665,"Beckom",2665,150,105,2026-07-01T02:02:09.916Z,rental-nsw
bectric-nsw-2665,"Bectric",2665,150,200,2026-07-01T02:02:09.916Z,rental-nsw
beggan-beggan-nsw-2587,"Beggan Beggan",2587,220,175,2026-07-01T02:02:09.916Z,rental-nsw
beilpajah-nsw-2878,"Beilpajah",2878,150,128,2026-07-01T02:02:09.916Z,rental-nsw
bellata-nsw-2397,"Bellata",2397,165,180,2026-07-01T02:02:09.916Z,sales-nsw
bellmount-forest-nsw-2581,"Bellmount Forest",2581,300,420,2026-07-01T02:02:09.916Z,rental-nsw
bell-nsw-2786,"Bell",2786,380,323,2026-07-01T02:02:09.916Z,rental-nsw
