slug,state,postcode,population,medianAge,sharedInPostcode
eulomogo-nsw-2830,NSW,2830,44963,36,18
katoomba-dc-nsw-2780,NSW,2780,13348,50,2
ellerslie-nsw-2648,NSW,2648,2671,51,5
violet-hill-nsw-2423,NSW,2423,3297,55,4
mount-olive-nsw-2787,NSW,2787,4605,48,10
greenlands-nsw-2631,NSW,2631,629,50,3
greenhills-nsw-2323,NSW,2323,26051,39,3
george-town-sa-7253,SA,7253,5160,47,1
faddon-sa-2904,SA,2904,13196,41,1
sydney-sa-2000,SA,2000,27936,32,1
kingswood-nsw-2340,NSW,2340,52436,38,5
upper-mangrove-nsw-2250,NSW,2250,71168,68,5
cranbury-nsw-2800,NSW,2800,48283,37,21
macquarie-pass-nsw-2577,NSW,2577,16724,47,8
yarras-nsw-2446,NSW,2446,15054,44,6
gooandra-nsw-2629,NSW,2629,534,58,7
summer-hill-nsw-2287,NSW,2287,40845,36,4
collaroy-beach-nsw-2097,NSW,2097,15991,41,3
stonehenge-qld-4730,QLD,4730,3177,39,10
glen-inneslambton-nsw-2299,NSW,2299,11905,34,1
camellia-nsw-2142,NSW,2142,27993,32,2
hmas-waterhen-nsw-2060,NSW,2060,15135,38,3
burtville-wa-6440,WA,6440,1333,37,4
st-peters-dc-nsw-2044,NSW,2044,8278,36,1
barcoongere-nsw-2460,NSW,2460,31079,25,20
liverpool-westfield-nsw-2170,NSW,2170,114479,35,3
tilligerry-creek-nsw-2319,NSW,2319,6887,50,1
alison-nsw-2420,NSW,2420,4016,50,6
burra-nsw-2653,NSW,2653,2636,46,4
glenroy-nsw-2653,NSW,2653,2636,46,4
sydney-south-nsw-2000,NSW,2000,27936,32,4
lilli-pilli-nsw-2229,NSW,2229,30943,41,2
jones-creek-nsw-2722,NSW,2722,3418,44,9
rocky-river-nsw-2358,NSW,2358,3727,47,3
ararat-sa-3377,SA,3377,9602,45,1
macquarie-marshes-nsw-2831,NSW,2831,1845,63,5
rocky-river-nsw-2372,NSW,2372,4789,56,14
yosemite-nsw-2780,NSW,2780,13348,50,2
wallsend-dc-nsw-2287,NSW,2287,40845,36,4
collaroy-plateau-west-nsw-2097,NSW,2097,15991,41,3
diamond-bay-nsw-2030,NSW,2030,14434,42,3
kingsgrove-dc-nsw-2208,NSW,2208,12881,42,3
lambs-valley-nsw-2370,NSW,2370,7785,48,3
mickibri-nsw-2870,NSW,2870,12036,39,11
shallow-rush-nsw-2870,NSW,2870,12036,39,11
carrington-nsw-2294,NSW,2294,2061,36,1
darlington-nsw-2008,NSW,2008,10400,28,2
gloucester-tops-nsw-2422,NSW,2422,5608,55,18
mootai-nsw-2325,NSW,2325,31073,39,10
budgewoi-peninsula-nsw-2262,NSW,2262,21411,39,2
nanardine-nsw-2870,NSW,2870,12036,39,11
gadgarra-qld-4884,QLD,4884,1901,53,1
doyles-river-nsw-2446,NSW,2446,15054,44,6
pipers-flat-nsw-2847,NSW,2847,2447,46,2
dingo-forest-nsw-2429,NSW,2429,9650,51,6
khatambuhl-nsw-2429,NSW,2429,9650,51,6
black-mountain-qld-4563,QLD,4563,9826,50,3
coonabarabran-sa-2357,SA,2357,4069,50,1
bexley-sa-2207,SA,2207,28382,40,1
munghorn-nsw-2850,NSW,2850,19146,40,14
duval-nsw-2350,NSW,2350,26911,30,19
parkesborough-nsw-2870,NSW,2870,12036,39,11
mayfield-nsw-2787,NSW,2787,4605,48,10
paradise-beach-nsw-2107,NSW,2107,15422,47,5
taylors-point-nsw-2107,NSW,2107,15422,47,5
marley-nsw-2232,NSW,2232,35304,39,11
kelgoola-nsw-2849,NSW,2849,1610,52,3
unanderra-dc-nsw-2526,NSW,2526,16736,39,3
palona-nsw-2232,NSW,2232,35304,39,11
boronia-park-nsw-2111,NSW,2111,15456,40,2
greendale-nsw-2745,NSW,2745,31847,35,1
randwick-dc-nsw-2031,NSW,2031,33830,36,3
penrith-south-nsw-2750,NSW,2750,49204,37,2
bondi-junction-plaza-nsw-2022,NSW,2022,13509,36,1
north-st-ives-nsw-2075,NSW,2075,21665,43,1
victoria-rock-wa-6429,WA,6429,967,47,4
berowra-creek-nsw-2082,NSW,2082,5458,42,1
parliament-house-nsw-2000,NSW,2000,27936,32,4
gosford-west-nsw-2250,NSW,2250,71168,41,5
cordeaux-nsw-2526,NSW,2526,16736,39,3
yenabilli-nsw-2232,NSW,2232,35304,39,11
darling-island-nsw-2009,NSW,2009,12658,37,2
hmas-kuttabul-nsw-2011,NSW,2011,18187,39,2
summer-hill-nsw-2130,NSW,2130,7288,36,1
golden-grove-nsw-2008,NSW,2008,10400,28,2
round-corner-nsw-2158,NSW,2158,8937,45,3
morven-nsw-2660,NSW,2660,1607,44,2
jerrabattculla-nsw-2622,NSW,2622,4141,50,15
dicks-hill-nsw-2443,NSW,2443,8739,61,2
punchbowl-nsw-2196,NSW,2196,33743,35,1
yannawah-nsw-2594,NSW,2594,12150,42,2
gore-hill-nsw-2065,NSW,2065,31698,37,3
bankstown-north-nsw-2200,NSW,2200,48003,34,4
yagoona-west-nsw-2199,NSW,2199,19651,34,2
revesby-north-nsw-2212,NSW,2212,17184,38,1
uloola-nsw-2232,NSW,2232,35304,39,11
boolijah-nsw-2540,NSW,2540,48267,49,14
warumbul-nsw-2232,NSW,2232,35304,39,11
charing-cross-nsw-2024,NSW,2024,11380,38,1
clovelly-west-nsw-2031,NSW,2031,33830,36,3
kings-plains-nsw-2360,NSW,2360,14995,42,3
boomoodeerie-nsw-2469,NSW,2469,4359,54,15
camira-creek-nsw-2469,NSW,2469,4359,54,15
long-plain-nsw-2360,NSW,2360,14995,42,3
pretty-gully-nsw-2469,NSW,2469,4359,54,15
clover-park-nsw-2469,NSW,2469,4359,54,15
back-creek-nsw-2622,NSW,2622,4141,50,15
gundillion-nsw-2622,NSW,2622,4141,50,15
dairyville-nsw-2450,NSW,2450,47335,44,6
sandford-tas-7020,TAS,7020,2665,43,2
coffs-harbour-dc-nsw-2450,NSW,2450,47335,44,6
donovans-forest-nsw-2250,NSW,2250,71168,41,5
cabbage-tree-island-nsw-2477,NSW,2477,12899,47,2
barrallier-nsw-2575,NSW,2575,17846,42,7
bulli-tops-nsw-2516,NSW,2516,6798,40,2
limeburners-creek-nsw-2444,NSW,2444,51117,47,5
port-macquarie-bc-nsw-2444,NSW,2444,51117,47,5
pheasant-ground-nsw-2577,NSW,2577,16724,47,8
yarrunga-nsw-2577,NSW,2577,16724,47,8
bendeela-nsw-2577,NSW,2577,16724,47,8
satur-nsw-2337,NSW,2337,8060,40,2
gan-gan-nsw-2315,NSW,2315,15287,54,1
o-connell-nsw-2795,NSW,2795,45077,39,14
colo-nsw-2795,NSW,2795,45077,39,14
stewarts-mount-nsw-2795,NSW,2795,45077,39,14
trunkey-nsw-2795,NSW,2795,45077,39,14
carrington-nsw-2324,NSW,2324,25443,47,7
combo-nsw-2330,NSW,2330,21445,37,13
glendonbrook-nsw-2330,NSW,2330,21445,37,13
st-clair-nsw-2330,NSW,2330,21445,37,13
oconnell-nsw-2795,NSW,2795,45077,39,14
paling-yards-nsw-2795,NSW,2795,45077,39,14
gundurimba-nsw-2480,NSW,2480,45938,44,9
steve-kings-plains-nsw-2480,NSW,2480,45938,44,9
lismore-dc-nsw-2480,NSW,2480,45938,44,9
goodmans-ford-nsw-2575,NSW,2575,17846,42,7
tuntable-falls-nsw-2480,NSW,2480,45938,44,9
back-creek-nsw-2480,NSW,2480,45938,44,9
missingham-nsw-2480,NSW,2480,45938,44,9
springfield-nsw-2630,NSW,2630,8876,46,6
uroly-nsw-2700,NSW,2700,4873,44,6
nanangroe-nsw-2582,NSW,2582,13693,42,4
iona-nsw-2321,NSW,2321,19857,34,2
st-marys-south-nsw-2760,NSW,2760,37632,34,2
rose-valley-nsw-2630,NSW,2630,8876,46,6
kemblawarra-nsw-2505,NSW,2505,5088,42,2
summer-hill-nsw-2800,NSW,2800,48283,37,21
orange-dc-nsw-2800,NSW,2800,48283,37,21
murragamba-nsw-2850,NSW,2850,19146,40,14
long-creek-nsw-2850,NSW,2850,19146,40,14
glen-ayr-nsw-2850,NSW,2850,19146,40,14
gulgamree-nsw-2850,NSW,2850,19146,40,14
murrengenburg-nsw-2622,NSW,2622,4141,50,15
ullamalla-nsw-2850,NSW,2850,19146,40,14
maitland-north-nsw-2320,NSW,2320,39163,37,2
carnsdale-nsw-2660,NSW,2660,1607,44,2
cheesemans-creek-nsw-2800,NSW,2800,48283,37,21
cullya-nsw-2800,NSW,2800,48283,37,21
calare-nsw-2800,NSW,2800,48283,37,21
glenroi-nsw-2800,NSW,2800,48283,37,21
bloomfield-nsw-2800,NSW,2800,48283,37,21
ammerdown-nsw-2800,NSW,2800,48283,37,21
bundarbo-nsw-2726,NSW,2726,255,43,3
brolgan-nsw-2870,NSW,2870,12036,39,11
orange-moulder-street-nsw-2800,NSW,2800,48283,37,21
suma-park-nsw-2800,NSW,2800,48283,37,21
burburgate-nsw-2380,NSW,2380,11118,37,7
taree-west-nsw-2430,NSW,2430,36841,49,7
bumberry-nsw-2870,NSW,2870,12036,39,11
chatham-nsw-2430,NSW,2430,36841,49,7
kolodong-nsw-2430,NSW,2430,36841,49,7
taree-dc-nsw-2430,NSW,2430,36841,49,7
forster-shopping-village-nsw-2428,NSW,2428,25187,58,5
scotchman-nsw-2454,NSW,2454,7953,47,6
upper-thora-nsw-2454,NSW,2454,7953,47,6
wonboyn-lake-nsw-2551,NSW,2551,3718,53,5
regents-park-dc-nsw-2143,NSW,2143,9774,35,1
bunga-nsw-2550,NSW,2550,16936,49,10
angus-place-nsw-2845,NSW,2845,2019,39,2
kingswood-nsw-2550,NSW,2550,16936,49,10
bull-plain-nsw-2646,NSW,2646,6841,51,4
mount-rooper-qld-4802,QLD,4802,13393,36,2
shutehaven-qld-4802,QLD,4802,13393,36,2
buraja-nsw-2646,NSW,2646,6841,51,4
hill-top-nsw-2628,NSW,2628,2176,45,4
mount-rae-nsw-2580,NSW,2580,31629,42,12
spring-valley-nsw-2580,NSW,2580,31629,42,12
six-mile-flat-nsw-2580,NSW,2580,31629,42,12
narone-creek-nsw-2325,NSW,2325,31073,39,10
yallambie-nsw-2325,NSW,2325,31073,39,10
milsons-arm-nsw-2325,NSW,2325,31073,39,10
goulburn-dc-nsw-2580,NSW,2580,31629,42,12
goulburn-north-nsw-2580,NSW,2580,31629,42,12
komungla-nsw-2580,NSW,2580,31629,42,12
leighwood-nsw-2580,NSW,2580,31629,42,12
wiaborough-nsw-2580,NSW,2580,31629,42,12
cockatoo-qld-4419,QLD,4419,1082,35,1
mount-druitt-village-nsw-2770,NSW,2770,61494,33,1
dubbo-dc-nsw-2830,NSW,2830,44963,36,18
wagga-wagga-north-nsw-2650,NSW,2650,61511,36,10
mount-christian-qld-4741,QLD,4741,7346,44,17
victoria-point-vic-3294,VIC,3294,967,47,3
