slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
calperum-sa-5341,"Calperum",5341,200,170,2026-07-01T02:02:17.568Z,rental-sa
calperum-station-sa-5341,"Calperum Station",5341,200,170,2026-07-01T02:02:17.568Z,rental-sa
caltowie-north-sa-5490,"Caltowie North",5490,130,80,2026-07-01T02:02:17.568Z,rental-sa
caltowie-sa-5490,"Caltowie",5490,130,190,2026-07-01T02:02:17.568Z,rental-sa
caltowie-west-sa-5490,"Caltowie West",5490,130,111,2026-07-01T02:02:17.568Z,rental-sa
campoona-sa-5640,"Campoona",5640,165,140,2026-07-01T02:02:17.568Z,rental-sa
canegrass-sa-5417,"Canegrass",5417,183,156,2026-07-01T02:02:17.568Z,rental-sa
cangara-sa-5268,"Cangara",5268,220,187,2026-07-01T02:02:17.568Z,rental-sa
cannawigara-sa-5268,"Cannawigara",5268,220,115,2026-07-01T02:02:17.568Z,rental-sa
canowie-belt-sa-5420,"Canowie Belt",5420,120,100,2026-07-01T02:02:17.568Z,rental-sa
canowie-sa-5419,"Canowie",5419,130,111,2026-07-01T02:02:17.568Z,rental-sa
canunda-sa-5280,"Canunda",5280,175,230,2026-07-01T02:02:17.568Z,rental-sa
canunda-sa-5291,"Canunda",5291,220,230,2026-07-01T02:02:17.568Z,rental-sa
cape-borda-sa-5223,"Cape Borda",5223,211,179,2026-07-01T02:02:17.568Z,rental-sa
cape-jaffa-sa-5275,"Cape Jaffa",5275,200,280,2026-07-01T02:02:17.568Z,rental-sa
caralue-sa-5641,"Caralue",5641,150,128,2026-07-01T02:02:17.568Z,rental-sa
carawa-sa-5680,"Carawa",5680,240,204,2026-07-01T02:02:17.568Z,rental-sa
carcuma-sa-5301,"Carcuma",5301,100,85,2026-07-01T02:02:17.568Z,rental-sa
carew-sa-5270,"Carew",5270,200,170,2026-07-01T02:02:17.568Z,rental-sa
carey-gully-sa-5144,"Carey Gully",5144,300,300,2026-07-01T02:02:17.568Z,rental-sa
caroline-sa-5291,"Caroline",5291,220,187,2026-07-01T02:02:17.568Z,rental-sa
carpenter-rocks-sa-5291,"Carpenter Rocks",5291,220,100,2026-07-01T02:02:17.568Z,rental-sa
carrieton-sa-5432,"Carrieton",5432,120,120,2026-07-01T02:02:17.568Z,rental-sa
cassini-sa-5223,"Cassini",5223,211,100,2026-07-01T02:02:17.568Z,rental-sa
castambul-sa-5076,"Castambul",5076,360,306,2026-07-01T02:02:17.568Z,rental-sa
caurnamont-sa-5238,"Caurnamont",5238,215,46,2026-07-01T02:02:17.568Z,rental-sa
cavan-sa-5094,"Cavan",5094,310,264,2026-07-01T02:02:17.568Z,rental-sa
cavenagh-sa-5422,"Cavenagh",5422,155,132,2026-07-01T02:02:17.568Z,rental-sa
caveton-sa-5291,"Caveton",5291,220,300,2026-07-01T02:02:17.568Z,rental-sa
chaffey-sa-5341,"Chaffey",5341,200,225,2026-07-01T02:02:17.568Z,rental-sa
chain-of-ponds-sa-5231,"Chain Of Ponds",5231,300,180,2026-07-01T02:02:17.568Z,rental-sa
chandada-sa-5680,"Chandada",5680,240,50,2026-07-01T02:02:17.568Z,rental-sa
chapel-hill-sa-5153,"Chapel Hill",5153,340,300,2026-07-01T02:02:17.568Z,rental-sa
chapman-bore-sa-5253,"Chapman Bore",5253,240,230,2026-07-01T02:02:17.568Z,rental-sa
charlton-gully-sa-5607,"Charlton Gully",5607,250,213,2026-07-01T02:02:17.568Z,rental-sa
charra-sa-5690,"Charra",5690,160,136,2026-07-01T02:02:17.568Z,rental-sa
cherry-gardens-sa-5157,"Cherry Gardens",5157,285,350,2026-07-01T02:02:17.568Z,rental-sa
chilpenunda-sa-5660,"Chilpenunda",5660,50,43,2026-07-01T02:02:17.568Z,rental-sa
chinaman-wells-sa-5573,"Chinaman Wells",5573,180,153,2026-07-01T02:02:17.568Z,rental-sa
chinamen-wells-sa-5573,"Chinamen Wells",5573,180,153,2026-07-01T02:02:17.568Z,rental-sa
chinbingina-sa-5680,"Chinbingina",5680,240,204,2026-07-01T02:02:17.568Z,rental-sa
chowilla-sa-5341,"Chowilla",5341,200,170,2026-07-01T02:02:17.568Z,rental-sa
christies-beach-north-sa-5165,"Christies Beach North",5165,325,276,2026-07-01T02:02:17.568Z,rental-sa
chundaria-sa-5690,"Chundaria",5690,160,136,2026-07-01T02:02:17.568Z,rental-sa
city-west-campus-sa-5000,"City West Campus",5000,400,340,2026-07-01T02:02:17.568Z,rental-sa
claypans-sa-5238,"Claypans",5238,215,183,2026-07-01T02:02:17.568Z,rental-sa
clayton-sa-5256,"Clayton",5256,250,213,2026-07-01T02:02:17.568Z,rental-sa
clayton-station-sa-5733,"Clayton Station",5733,80,68,2026-07-01T02:02:17.568Z,rental-sa
clay-wells-sa-5280,"Clay Wells",5280,175,149,2026-07-01T02:02:17.568Z,rental-sa
cleland-sa-5152,"Cleland",5152,420,295,2026-07-01T02:02:17.568Z,rental-sa
clements-gap-sa-5523,"Clements Gap",5523,189,161,2026-07-01T02:02:17.568Z,rental-sa
clifton-hills-station-sa-5733,"Clifton Hills Station",5733,80,68,2026-07-01T02:02:17.568Z,rental-sa
clinton-centre-sa-5570,"Clinton Centre",5570,200,170,2026-07-01T02:02:17.568Z,rental-sa
clinton-sa-5570,"Clinton",5570,200,225,2026-07-01T02:02:17.568Z,rental-sa
cocata-sa-5654,"Cocata",5654,100,85,2026-07-01T02:02:17.568Z,rental-sa
cockaleechie-sa-5631,"Cockaleechie",5631,180,175,2026-07-01T02:02:17.568Z,rental-sa
cockatoo-valley-sa-5351,"Cockatoo Valley",5351,300,383,2026-07-01T02:02:17.568Z,rental-sa
cockburn-sa-5440,"Cockburn",5440,75,140,2026-07-01T02:02:17.568Z,rental-sa
colebatch-sa-5266,"Colebatch",5266,150,75,2026-07-01T02:02:17.568Z,rental-sa
coles-sa-5272,"Coles",5272,150,115,2026-07-01T02:02:17.568Z,rental-sa
colley-sa-5671,"Colley",5671,100,200,2026-07-01T02:02:17.568Z,rental-sa
collinsfield-sa-5555,"Collinsfield",5555,190,162,2026-07-01T02:02:17.568Z,rental-sa
collinsville-sa-5418,"Collinsville",5418,175,149,2026-07-01T02:02:17.568Z,rental-sa
colton-sa-5670,"Colton",5670,200,170,2026-07-01T02:02:17.568Z,rental-sa
