slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
benjeroop-vic-3579,"Benjeroop",3579,200,170,2026-05-03T06:36:43.056Z,rental-vic
benloch-vic-3435,"Benloch",3435,360,417,2026-05-03T06:36:43.056Z,rental-vic
bennettswood-vic-3125,"Bennettswood",3125,411,349,2026-05-03T06:36:43.056Z,rental-vic
ben-nevis-vic-3377,"Ben Nevis",3377,250,213,2026-05-03T06:36:43.056Z,rental-vic
bennison-vic-3960,"Bennison",3960,236,201,2026-05-03T06:36:43.056Z,rental-vic
bentleigh-east-vic-3165,"Bentleigh East",3165,500,500,2026-05-03T06:36:43.056Z,sales-vic
benwerrin-vic-3235,"Benwerrin",3235,200,170,2026-05-03T06:36:43.056Z,rental-vic
beremboke-vic-3342,"Beremboke",3342,330,300,2026-05-03T06:36:43.056Z,rental-vic
berrambool-vic-3379,"Berrambool",3379,150,128,2026-05-03T06:36:43.056Z,rental-vic
berrimal-vic-3518,"Berrimal",3518,170,20,2026-05-03T06:36:43.056Z,rental-vic
berrimal-west-vic-3478,"Berrimal West",3478,185,157,2026-05-03T06:36:43.056Z,rental-vic
berringama-vic-3691,"Berringama",3691,340,180,2026-05-03T06:36:43.056Z,rental-vic
berringa-vic-3351,"Berringa",3351,280,250,2026-05-03T06:36:43.056Z,rental-vic
berriwillock-vic-3531,"Berriwillock",3531,150,150,2026-05-03T06:36:43.056Z,rental-vic
berrybank-vic-3323,"Berrybank",3323,200,200,2026-05-03T06:36:43.056Z,rental-vic
berrys-creek-vic-3953,"Berrys Creek",3953,270,205,2026-05-03T06:36:43.056Z,rental-vic
bessiebelle-vic-3304,"Bessiebelle",3304,180,140,2026-05-03T06:36:43.056Z,rental-vic
bet-bet-vic-3472,"Bet Bet",3472,192,228,2026-05-03T06:36:43.056Z,rental-vic
bete-bolong-north-vic-3888,"Bete Bolong North",3888,200,170,2026-05-03T06:36:43.056Z,rental-vic
bete-bolong-vic-3888,"Bete Bolong",3888,200,125,2026-05-03T06:36:43.056Z,rental-vic
bethanga-vic-3691,"Bethanga",3691,340,260,2026-05-03T06:36:43.056Z,rental-vic
betley-vic-3472,"Betley",3472,192,193,2026-05-03T06:36:43.056Z,rental-vic
beulah-vic-3395,"Beulah",3395,80,68,2026-05-03T06:36:43.056Z,rental-vic
beverford-vic-3590,"Beverford",3590,150,150,2026-05-03T06:36:43.056Z,rental-vic
beveridge-vic-3753,"Beveridge",3753,400,400,2026-05-03T06:36:43.056Z,sales-vic
big-desert-vic-3490,"Big Desert",3490,163,139,2026-05-03T06:36:43.056Z,rental-vic
biggara-vic-3707,"Biggara",3707,200,170,2026-05-03T06:36:43.056Z,rental-vic
big-hill-vic-3231,"Big Hill",3231,350,298,2026-05-03T06:36:43.056Z,rental-vic
big-hill-vic-3232,"Big Hill",3232,363,309,2026-05-03T06:36:43.056Z,rental-vic
big-hill-vic-3555,"Big Hill",3555,290,247,2026-05-03T06:36:43.056Z,rental-vic
big-pats-creek-vic-3799,"Big Pats Creek",3799,300,185,2026-05-03T06:36:43.056Z,rental-vic
billabong-vic-3858,"Billabong",3858,216,184,2026-05-03T06:36:43.056Z,rental-vic
bimbourie-vic-3533,"Bimbourie",3533,140,50,2026-05-03T06:36:43.056Z,rental-vic
bindi-vic-3896,"Bindi",3896,120,102,2026-05-03T06:36:43.056Z,rental-vic
binginwarri-vic-3966,"Binginwarri",3966,220,250,2026-05-03T06:36:43.056Z,rental-vic
bingo-munjie-vic-3898,"Bingo Munjie",3898,231,196,2026-05-03T06:36:43.056Z,rental-vic
bingo-vic-3898,"Bingo",3898,231,196,2026-05-03T06:36:43.056Z,rental-vic
birchip-vic-3483,"Birchip",3483,152,155,2026-05-03T06:36:43.056Z,sales-vic
birchip-west-vic-3483,"Birchip West",3483,152,129,2026-05-03T06:36:43.056Z,rental-vic
birdwoodton-vic-3505,"Birdwoodton",3505,220,300,2026-05-03T06:36:43.056Z,rental-vic
birregurra-vic-3242,"Birregurra",3242,300,300,2026-05-03T06:36:43.056Z,sales-vic
bittern-vic-3918,"Bittern",3918,366,366,2026-05-03T06:36:43.056Z,sales-vic
blackburn-north-vic-3130,"Blackburn North",3130,415,431,2026-05-03T06:36:43.056Z,sales-vic
blackburn-south-vic-3130,"Blackburn South",3130,415,410,2026-05-03T06:36:43.056Z,sales-vic
blackheath-vic-3401,"Blackheath",3401,200,170,2026-05-03T06:36:43.056Z,rental-vic
black-hill-vic-3350,"Black Hill",3350,300,255,2026-05-03T06:36:43.056Z,sales-vic
